uni	Participant	uid
school3	77	398
school3	79	399
school3	80	400
school3	81	401
school3	82	402
school3	83	403
school3	85	404
school3	87	405
school3	88	406
school3	90	407
school3	91	408
school3	93	409
school3	96	410
school3	98	411
school3	100	412
school3	101	413
school3	103	414
school3	104	415
school3	105	416
school3	106	417
school3	109	418
school3	111	419
school3	112	420
school3	113	421
school3	114	422
school3	115	423
school3	116	424
school3	117	425
school3	118	426
school3	119	427
school3	120	428
school3	121	429
school3	124	430
school3	127	431
school3	129	432
school3	130	433
school3	131	434
school3	133	435
school3	134	436
school3	135	437
school3	136	438
school3	137	439
school3	139	440
school3	142	441
school3	146	442
school3	149	443
school3	152	444
school4	1	445
school4	2	446
school4	3	447
school4	4	448
school4	8	449
school4	11	450
school4	13	451
school4	14	452
school4	15	453
school4	16	454
school4	18	455
school4	19	456
school4	20	457
school4	21	458
school4	22	459
school4	23	460
school4	24	461
school4	25	462
school4	26	463
school4	27	464
school4	28	465
school4	29	466
school4	30	467
school4	31	468
school4	32	469
school4	33	470
school4	35	471
school4	36	472
school4	39	473
school4	40	474
school4	41	475
school4	42	476
school4	44	477
school4	45	478
school4	46	479
school4	48	480
school4	49	481
school4	51	482
school4	52	483
school4	53	484
school4	55	485
school4	56	486
school4	57	487
school4	58	488
school4	59	489
school4	61	490
school4	63	491
school4	64	492
school4	65	493
school4	66	494
school4	67	495
school4	69	496
school4	70	497
school4	72	498
school4	73	499
school4	74	500
school4	75	501
school4	76	502
school4	78	503
school4	79	504
school4	80	505
school4	81	506
school4	82	507
school4	83	508
school4	85	509
school4	86	510
school4	87	511
school4	88	512
school4	89	513
school4	90	514
school4	91	515
school4	92	516
school4	93	517
school4	95	518
school4	96	519
school4	98	520
school4	99	521
school4	100	522
school4	101	523
school4	102	524
school4	103	525
school4	105	526
school4	106	527
school4	107	528
school4	108	529
school4	109	530
school4	111	531
school4	112	532
school4	114	533
school4	116	534
school4	117	535
school4	118	536
school4	119	537
school4	120	538
school4	121	539
school4	122	540
school4	123	541
school4	124	542
school4	125	543
school4	126	544
school4	127	545
school4	128	546
school4	129	547
school4	131	548
school4	132	549
school4	133	550
school4	134	551
school4	135	552
school4	136	553
school4	137	554
school4	138	555
school4	139	556
school4	140	557
school4	143	558
school4	144	559
school4	145	560
school4	146	561
school4	147	562
school4	150	563
school4	151	564
school4	152	565
school4	153	566
school4	154	567
school4	155	568
school4	156	569
school4	158	570
school4	159	571
school4	160	572
school4	163	573
school4	164	574
school4	165	575
school4	167	576
school4	170	577
school4	173	578
school4	174	579
school4	175	580
school4	176	581
school4	177	582
school4	178	583
school4	179	584
school4	180	585
school4	181	586
school4	182	587
school4	184	588
school4	187	589
school4	189	590
school4	190	591
school4	192	592
school4	193	593
school4	194	594
school4	196	595
school4	197	596
school4	198	597
school4	199	598
school4	201	599
school4	202	600
school4	203	601
school4	206	602
school4	207	603
school4	208	604
school4	209	605
school4	210	606
school4	211	607
school4	212	608
school4	214	609
school4	215	610
school4	216	611
school4	218	612
school4	219	613
school4	225	614
